Datum,Makkink (mm),G_lower,G_center,G_upper,H_lower,H_center,H_upper,Hplus_lower,Hplus_center,Hplus_upper,L_lower,L_center,L_upper
1/1/1906,0.394,0,0,0,0,0,0,0,0,0,0,0,0
1/2/1906,0.271,0,0,0,0,0,0,0,0,0,0,0,0
1/3/1906,0.16,0,0,0,0,0,0,0,0,0,0,0,0
1/4/1906,0.187,4.4995,4.546,4.5802,4.4995,4.546,4.5802,4.4995,4.546,4.5802,4.4995,4.546,4.5802
1/5/1906,0.193,16.6614,16.8667,17.0645,16.6614,16.8667,17.0645,16.6614,16.8667,17.0645,16.6614,16.8667,17.0645
1/6/1906,0.275,17.0475,17.204,17.3606,17.0475,17.204,17.3606,17.0475,17.204,17.3606,17.0475,17.204,17.3606
1/7/1906,0.401,4.0424,4.0838,4.1254,4.0424,4.0838,4.1254,4.0424,4.0838,4.1254,4.0424,4.0838,4.1254
1/8/1906,0.176,12.8008,12.8009,12.8009,12.8008,12.8009,12.8009,12.8008,12.8009,12.8009,12.8008,12.8009,12.8009
1/9/1906,0.198,3.6402,3.6018,3.5728,3.6402,3.6018,3.5728,3.6402,3.6018,3.5728,3.6402,3.6018,3.5728
1/10/1906,0.338,0.1255,0.1242,0.1232,0.1255,0.1242,0.1232,0.1255,0.1242,0.1232,0.1255,0.1242,0.1232
1/11/1906,0.304,0,0,0,0,0,0,0,0,0,0,0,0
1/12/1906,0.201,3.4745,3.44,3.4055,3.4745,3.44,3.4055,3.4745,3.44,3.4055,3.4745,3.44,3.4055
1/13/1906,0.216,22.04,22.2047,22.3692,22.04,22.2047,22.3692,22.04,22.2047,22.3692,22.04,22.2047,22.3692
1/14/1906,0.59,0,0,0,0,0,0,0,0,0,0,0,0
1/15/1906,0.595,0,0,0,0,0,0,0,0,0,0,0,0
1/16/1906,0.648,1.4912,1.4839,1.4666,1.4912,1.4839,1.4666,1.4912,1.4839,1.4666,1.4912,1.4839,1.4666
1/17/1906,0.58,16.9301,17.1772,17.4245,16.9301,17.1772,17.4245,16.9301,17.1772,17.4245,16.9301,17.1772,17.4245
1/18/1906,0.222,10.6425,10.7586,10.8666,10.6425,10.7586,10.8666,10.6425,10.7586,10.8666,10.6425,10.7586,10.8666
1/19/1906,0.301,6.957,6.9512,6.9529,6.957,6.9512,6.9529,6.957,6.9512,6.9529,6.957,6.9512,6.9529
1/20/1906,0.342,0.6329,0.6263,0.6213,0.6329,0.6263,0.6213,0.6329,0.6263,0.6213,0.6329,0.6263,0.6213
1/21/1906,0.216,6.4609,6.3876,6.3328,6.4609,6.3876,6.3328,6.4609,6.3876,6.3328,6.4609,6.3876,6.3328
1/22/1906,0.686,0,0,0,0,0,0,0,0,0,0,0,0
1/23/1906,0.637,0,0,0,0,0,0,0,0,0,0,0,0
1/24/1906,0.626,0,0,0,0,0,0,0,0,0,0,0,0
1/25/1906,0.203,6.2709,6.2609,6.2509,6.2709,6.2609,6.2509,6.2709,6.2609,6.2509,6.2709,6.2609,6.2509
1/26/1906,0.233,0.9927,0.9626,0.9326,0.9927,0.9626,0.9326,0.9927,0.9626,0.9326,0.9927,0.9626,0.9326
1/27/1906,0.323,0,0,0,0,0,0,0,0,0,0,0,0
1/28/1906,0.264,0.8893,0.8691,0.8393,0.8893,0.8691,0.8393,0.8893,0.8691,0.8393,0.8893,0.8691,0.8393
1/29/1906,0.271,3.8386,3.8011,3.773,3.8386,3.8011,3.773,3.8386,3.8011,3.773,3.8386,3.8011,3.773
1/30/1906,0.532,0.2477,0.2452,0.2434,0.2477,0.2452,0.2434,0.2477,0.2452,0.2434,0.2477,0.2452,0.2434
