Datum,Makkink (mm),G,H,H+,L
1/1/1906,0.38,0,0,0,0
1/2/1906,0.26,0,0,0,0
1/3/1906,0.16,0,0,0,0
1/4/1906,0.19,4.6692,4.6692,4.6692,4.6692
1/5/1906,0.19,17.2453,17.2453,17.2453,17.2453
1/6/1906,0.27,17.6633,17.6633,17.6633,17.6633
1/7/1906,0.4,4.1856,4.1856,4.1856,4.1856
1/8/1906,0.18,13.3194,13.3194,13.3194,13.3194
1/9/1906,0.2,3.8002,3.8002,3.8002,3.8002
1/10/1906,0.34,0.131,0.131,0.131,0.131
1/11/1906,0.3,0,0,0,0
1/12/1906,0.2,3.6282,3.6282,3.6282,3.6282
1/13/1906,0.22,22.8532,22.8532,22.8532,22.8532
1/14/1906,0.59,0,0,0,0
1/15/1906,0.59,0,0,0,0
1/16/1906,0.65,1.5547,1.5547,1.5547,1.5547
1/17/1906,0.58,17.502,17.502,17.502,17.502
1/18/1906,0.22,11.0231,11.0231,11.0231,11.0231
1/19/1906,0.3,7.2386,7.2386,7.2386,7.2386
1/20/1906,0.34,0.661,0.661,0.661,0.661
1/21/1906,0.21,6.7537,6.7537,6.7537,6.7537
1/22/1906,0.67,0,0,0,0
1/23/1906,0.62,0,0,0,0
1/24/1906,0.61,0,0,0,0
1/25/1906,0.2,6.5319,6.5319,6.5319,6.5319
1/26/1906,0.23,1.0431,1.0431,1.0431,1.0431
1/27/1906,0.32,0,0,0,0
1/28/1906,0.26,0.9426,0.9426,0.9426,0.9426
1/29/1906,0.27,4.0056,4.0056,4.0056,4.0056
1/30/1906,0.53,0.2585,0.2585,0.2585,0.2585
1/31/1906,0.69,0.4018,0.4018,0.4018,0.4018
2/1/1906,0.27,1.4529,1.4529,1.4529,1.4529
2/2/1906,0.41,0.7852,0.7852,0.7852,0.7852
2/3/1906,0.4,10.3059,10.3059,10.3059,10.3059
2/4/1906,0.68,0.3969,0.3969,0.3969,0.3969
2/5/1906,0.25,0,0,0,0
2/6/1906,0.25,0,0,0,0
2/7/1906,0.64,0.5332,0.5332,0.5332,0.5332
2/8/1906,0.28,9.8146,9.8146,9.8146,9.8146
2/9/1906,0.39,1.8333,1.8333,1.8333,1.8333
2/10/1906,0.28,3.4001,3.4001,3.4001,3.4001
2/11/1906,0.42,2.1764,2.1764,2.1764,2.1764
2/12/1906,0.64,1.3116,1.3116,1.3116,1.3116
2/13/1906,0.56,0.2602,0.2602,0.2602,0.2602
2/14/1906,0.55,0,0,0,0
