date;location_id;Parameter samengevoegd;scenario_name;unit;Value
2-10-1911;85;Waterstand;Ref 2017;m;7,42
3-10-1911;85;Waterstand;Ref 2017;m;7,39
4-10-1911;85;Waterstand;Ref 2017;m;7,39
5-10-1911;85;Waterstand;Ref 2017;m;7,42
6-10-1911;85;Waterstand;Ref 2017;m;7,47
7-10-1911;85;Waterstand;Ref 2017;m;7,52
8-10-1911;85;Waterstand;Ref 2017;m;7,57
9-10-1911;85;Waterstand;Ref 2017;m;7,57
10-10-1911;85;Waterstand;Ref 2017;m;7,54
11-10-1911;85;Waterstand;Ref 2017;m;7,54
12-10-1911;85;Waterstand;Ref 2017;m;7,54
13-10-1911;85;Waterstand;Ref 2017;m;7,58
14-10-1911;85;Waterstand;Ref 2017;m;7,68
15-10-1911;85;Waterstand;Ref 2017;m;7,79
16-10-1911;85;Waterstand;Ref 2017;m;7,88
17-10-1911;85;Waterstand;Ref 2017;m;7,95
18-10-1911;85;Waterstand;Ref 2017;m;7,97
19-10-1911;85;Waterstand;Ref 2017;m;7,97
20-10-1911;85;Waterstand;Ref 2017;m;7,93
21-10-1911;85;Waterstand;Ref 2017;m;7,89
22-10-1911;85;Waterstand;Ref 2017;m;7,86
23-10-1911;85;Waterstand;Ref 2017;m;7,81
24-10-1911;85;Waterstand;Ref 2017;m;7,75
25-10-1911;85;Waterstand;Ref 2017;m;7,71
26-10-1911;85;Waterstand;Ref 2017;m;7,67
27-10-1911;85;Waterstand;Ref 2017;m;7,64
28-10-1911;85;Waterstand;Ref 2017;m;7,59
29-10-1911;85;Waterstand;Ref 2017;m;7,55
30-10-1911;85;Waterstand;Ref 2017;m;7,54
31-10-1911;85;Waterstand;Ref 2017;m;7,55
1-11-1911;85;Waterstand;Ref 2017;m;7,58
2-11-1911;85;Waterstand;Ref 2017;m;7,62
3-11-1911;85;Waterstand;Ref 2017;m;7,67
4-11-1911;85;Waterstand;Ref 2017;m;7,7
5-11-1911;85;Waterstand;Ref 2017;m;7,7
6-11-1911;85;Waterstand;Ref 2017;m;7,66
7-11-1911;85;Waterstand;Ref 2017;m;7,6
8-11-1911;85;Waterstand;Ref 2017;m;7,55
9-11-1911;85;Waterstand;Ref 2017;m;7,53
10-11-1911;85;Waterstand;Ref 2017;m;7,48
11-11-1911;85;Waterstand;Ref 2017;m;7,44
12-11-1911;85;Waterstand;Ref 2017;m;7,43
13-11-1911;85;Waterstand;Ref 2017;m;7,44
14-11-1911;85;Waterstand;Ref 2017;m;7,45
15-11-1911;85;Waterstand;Ref 2017;m;7,47
16-11-1911;85;Waterstand;Ref 2017;m;7,53
17-11-1911;85;Waterstand;Ref 2017;m;7,61
18-11-1911;85;Waterstand;Ref 2017;m;7,66
19-11-1911;85;Waterstand;Ref 2017;m;7,73
20-11-1911;85;Waterstand;Ref 2017;m;7,8
21-11-1911;85;Waterstand;Ref 2017;m;7,92
22-11-1911;85;Waterstand;Ref 2017;m;8,11
23-11-1911;85;Waterstand;Ref 2017;m;8,28
24-11-1911;85;Waterstand;Ref 2017;m;8,39
25-11-1911;85;Waterstand;Ref 2017;m;8,56
26-11-1911;85;Waterstand;Ref 2017;m;8,78
27-11-1911;85;Waterstand;Ref 2017;m;8,96
28-11-1911;85;Waterstand;Ref 2017;m;8,89
29-11-1911;85;Waterstand;Ref 2017;m;8,71
30-11-1911;85;Waterstand;Ref 2017;m;8,63
1-12-1911;85;Waterstand;Ref 2017;m;8,66
2-12-1911;85;Waterstand;Ref 2017;m;8,73
3-12-1911;85;Waterstand;Ref 2017;m;8,71
4-12-1911;85;Waterstand;Ref 2017;m;8,57
5-12-1911;85;Waterstand;Ref 2017;m;8,4
6-12-1911;85;Waterstand;Ref 2017;m;8,26
7-12-1911;85;Waterstand;Ref 2017;m;8,16
8-12-1911;85;Waterstand;Ref 2017;m;8,09
9-12-1911;85;Waterstand;Ref 2017;m;8,03
10-12-1911;85;Waterstand;Ref 2017;m;7,99
11-12-1911;85;Waterstand;Ref 2017;m;7,94
12-12-1911;85;Waterstand;Ref 2017;m;7,92
13-12-1911;85;Waterstand;Ref 2017;m;7,96
14-12-1911;85;Waterstand;Ref 2017;m;8,11
15-12-1911;85;Waterstand;Ref 2017;m;8,28
16-12-1911;85;Waterstand;Ref 2017;m;8,31
