date;location_id;Parameter samengevoegd;scenario_name;unit;Value
2-10-1911;85;Waterstand;Rust 2050;m;7,53
3-10-1911;85;Waterstand;Rust 2050;m;7,5
4-10-1911;85;Waterstand;Rust 2050;m;7,49
5-10-1911;85;Waterstand;Rust 2050;m;7,53
6-10-1911;85;Waterstand;Rust 2050;m;7,59
7-10-1911;85;Waterstand;Rust 2050;m;7,66
8-10-1911;85;Waterstand;Rust 2050;m;7,71
9-10-1911;85;Waterstand;Rust 2050;m;7,71
10-10-1911;85;Waterstand;Rust 2050;m;7,69
11-10-1911;85;Waterstand;Rust 2050;m;7,69
12-10-1911;85;Waterstand;Rust 2050;m;7,71
13-10-1911;85;Waterstand;Rust 2050;m;7,76
14-10-1911;85;Waterstand;Rust 2050;m;7,89
15-10-1911;85;Waterstand;Rust 2050;m;8,02
16-10-1911;85;Waterstand;Rust 2050;m;8,14
17-10-1911;85;Waterstand;Rust 2050;m;8,23
18-10-1911;85;Waterstand;Rust 2050;m;8,27
19-10-1911;85;Waterstand;Rust 2050;m;8,26
20-10-1911;85;Waterstand;Rust 2050;m;8,22
21-10-1911;85;Waterstand;Rust 2050;m;8,17
22-10-1911;85;Waterstand;Rust 2050;m;8,14
23-10-1911;85;Waterstand;Rust 2050;m;8,08
24-10-1911;85;Waterstand;Rust 2050;m;8,01
25-10-1911;85;Waterstand;Rust 2050;m;7,97
26-10-1911;85;Waterstand;Rust 2050;m;7,93
27-10-1911;85;Waterstand;Rust 2050;m;7,89
28-10-1911;85;Waterstand;Rust 2050;m;7,85
29-10-1911;85;Waterstand;Rust 2050;m;7,81
30-10-1911;85;Waterstand;Rust 2050;m;7,81
31-10-1911;85;Waterstand;Rust 2050;m;7,83
1-11-1911;85;Waterstand;Rust 2050;m;7,88
2-11-1911;85;Waterstand;Rust 2050;m;7,94
3-11-1911;85;Waterstand;Rust 2050;m;8
4-11-1911;85;Waterstand;Rust 2050;m;8,04
5-11-1911;85;Waterstand;Rust 2050;m;8,04
6-11-1911;85;Waterstand;Rust 2050;m;8
7-11-1911;85;Waterstand;Rust 2050;m;7,92
