date;location_id;Parameter samengevoegd;scenario_name;unit;Value
2-10-1911;85;Waterstand;Stoom 2050;m;6,79
3-10-1911;85;Waterstand;Stoom 2050;m;6,77
4-10-1911;85;Waterstand;Stoom 2050;m;6,76
5-10-1911;85;Waterstand;Stoom 2050;m;6,78
6-10-1911;85;Waterstand;Stoom 2050;m;6,83
7-10-1911;85;Waterstand;Stoom 2050;m;6,87
8-10-1911;85;Waterstand;Stoom 2050;m;6,91
9-10-1911;85;Waterstand;Stoom 2050;m;6,91
10-10-1911;85;Waterstand;Stoom 2050;m;6,9
11-10-1911;85;Waterstand;Stoom 2050;m;6,9
12-10-1911;85;Waterstand;Stoom 2050;m;6,91
13-10-1911;85;Waterstand;Stoom 2050;m;6,95
14-10-1911;85;Waterstand;Stoom 2050;m;7,03
15-10-1911;85;Waterstand;Stoom 2050;m;7,12
16-10-1911;85;Waterstand;Stoom 2050;m;7,2
17-10-1911;85;Waterstand;Stoom 2050;m;7,27
18-10-1911;85;Waterstand;Stoom 2050;m;7,3
19-10-1911;85;Waterstand;Stoom 2050;m;7,3
20-10-1911;85;Waterstand;Stoom 2050;m;7,28
21-10-1911;85;Waterstand;Stoom 2050;m;7,25
22-10-1911;85;Waterstand;Stoom 2050;m;7,23
23-10-1911;85;Waterstand;Stoom 2050;m;7,2
24-10-1911;85;Waterstand;Stoom 2050;m;7,16
25-10-1911;85;Waterstand;Stoom 2050;m;7,13
26-10-1911;85;Waterstand;Stoom 2050;m;7,11
27-10-1911;85;Waterstand;Stoom 2050;m;7,09
28-10-1911;85;Waterstand;Stoom 2050;m;7,06
29-10-1911;85;Waterstand;Stoom 2050;m;7,05
30-10-1911;85;Waterstand;Stoom 2050;m;7,06
31-10-1911;85;Waterstand;Stoom 2050;m;7,08
1-11-1911;85;Waterstand;Stoom 2050;m;7,12
2-11-1911;85;Waterstand;Stoom 2050;m;7,17
3-11-1911;85;Waterstand;Stoom 2050;m;7,22
4-11-1911;85;Waterstand;Stoom 2050;m;7,25
5-11-1911;85;Waterstand;Stoom 2050;m;7,24
6-11-1911;85;Waterstand;Stoom 2050;m;7,21
7-11-1911;85;Waterstand;Stoom 2050;m;7,16
8-11-1911;85;Waterstand;Stoom 2050;m;7,12
9-11-1911;85;Waterstand;Stoom 2050;m;7,1
10-11-1911;85;Waterstand;Stoom 2050;m;7,06
11-11-1911;85;Waterstand;Stoom 2050;m;7,02
12-11-1911;85;Waterstand;Stoom 2050;m;7,01
13-11-1911;85;Waterstand;Stoom 2050;m;7,03
14-11-1911;85;Waterstand;Stoom 2050;m;7,05
15-11-1911;85;Waterstand;Stoom 2050;m;7,08
16-11-1911;85;Waterstand;Stoom 2050;m;7,14
17-11-1911;85;Waterstand;Stoom 2050;m;7,23
18-11-1911;85;Waterstand;Stoom 2050;m;7,28
19-11-1911;85;Waterstand;Stoom 2050;m;7,35
20-11-1911;85;Waterstand;Stoom 2050;m;7,43
21-11-1911;85;Waterstand;Stoom 2050;m;7,55
22-11-1911;85;Waterstand;Stoom 2050;m;7,76
23-11-1911;85;Waterstand;Stoom 2050;m;7,94
24-11-1911;85;Waterstand;Stoom 2050;m;8,09
25-11-1911;85;Waterstand;Stoom 2050;m;8,3
26-11-1911;85;Waterstand;Stoom 2050;m;8,63
27-11-1911;85;Waterstand;Stoom 2050;m;8,87
28-11-1911;85;Waterstand;Stoom 2050;m;8,81
29-11-1911;85;Waterstand;Stoom 2050;m;8,63
30-11-1911;85;Waterstand;Stoom 2050;m;8,55
1-12-1911;85;Waterstand;Stoom 2050;m;8,58
2-12-1911;85;Waterstand;Stoom 2050;m;8,67
3-12-1911;85;Waterstand;Stoom 2050;m;8,65
4-12-1911;85;Waterstand;Stoom 2050;m;8,51
5-12-1911;85;Waterstand;Stoom 2050;m;8,31
6-12-1911;85;Waterstand;Stoom 2050;m;8,17
7-12-1911;85;Waterstand;Stoom 2050;m;8,08
